date,product_id,product_name,category,opening_stock,stock_received,units_sold,closing_stock,reorder_point,lead_time_days,stock_status
2024-01-29,P001,Wireless Mouse,Electronics,132,0,23,109,50,7,In Stock
2024-01-30,P001,Wireless Mouse,Electronics,109,0,21,88,50,7,In Stock
2024-01-31,P001,Wireless Mouse,Electronics,88,0,17,71,50,7,Reorder Soon
2024-02-01,P001,Wireless Mouse,Electronics,71,0,20,51,50,7,Reorder Soon
2024-02-02,P001,Wireless Mouse,Electronics,51,165,21,195,50,7,In Stock
2024-02-03,P001,Wireless Mouse,Electronics,195,0,28,167,50,7,In Stock
2024-02-04,P001,Wireless Mouse,Electronics,167,0,15,152,50,7,In Stock
2024-02-05,P001,Wireless Mouse,Electronics,152,0,16,136,50,7,In Stock
2024-02-06,P001,Wireless Mouse,Electronics,136,0,19,117,50,7,In Stock
2024-02-07,P001,Wireless Mouse,Electronics,117,0,17,100,50,7,In Stock
2024-02-08,P001,Wireless Mouse,Electronics,100,0,20,80,50,7,In Stock
2024-02-09,P001,Wireless Mouse,Electronics,80,0,20,60,50,7,Reorder Soon
2024-02-10,P001,Wireless Mouse,Electronics,60,168,18,210,50,7,In Stock
2024-02-11,P001,Wireless Mouse,Electronics,210,0,16,194,50,7,In Stock
2024-02-12,P001,Wireless Mouse,Electronics,194,0,17,177,50,7,In Stock
2024-02-13,P001,Wireless Mouse,Electronics,177,0,20,157,50,7,In Stock
2024-02-14,P001,Wireless Mouse,Electronics,157,0,20,137,50,7,In Stock
2024-02-15,P001,Wireless Mouse,Electronics,137,0,17,120,50,7,In Stock
2024-02-16,P001,Wireless Mouse,Electronics,120,0,13,107,50,7,In Stock
2024-02-17,P001,Wireless Mouse,Electronics,107,0,15,92,50,7,In Stock
2024-02-18,P001,Wireless Mouse,Electronics,92,0,21,71,50,7,Reorder Soon
2024-02-19,P001,Wireless Mouse,Electronics,71,0,17,54,50,7,Reorder Soon
2024-02-20,P001,Wireless Mouse,Electronics,54,156,17,193,50,7,In Stock
2024-02-21,P001,Wireless Mouse,Electronics,193,0,16,177,50,7,In Stock
2024-02-22,P001,Wireless Mouse,Electronics,177,0,16,161,50,7,In Stock
2024-02-23,P001,Wireless Mouse,Electronics,161,0,21,140,50,7,In Stock
2024-02-24,P001,Wireless Mouse,Electronics,140,0,21,119,50,7,In Stock
2024-02-25,P001,Wireless Mouse,Electronics,119,0,18,101,50,7,In Stock
2024-02-26,P001,Wireless Mouse,Electronics,101,0,19,82,50,7,In Stock
2024-02-27,P001,Wireless Mouse,Electronics,82,0,19,63,50,7,Reorder Soon
2024-02-28,P001,Wireless Mouse,Electronics,63,153,23,193,50,7,In Stock
2024-02-29,P001,Wireless Mouse,Electronics,193,0,15,178,50,7,In Stock
2024-03-01,P001,Wireless Mouse,Electronics,178,0,19,159,50,7,In Stock
2024-03-02,P001,Wireless Mouse,Electronics,159,0,22,137,50,7,In Stock
2024-03-03,P001,Wireless Mouse,Electronics,137,0,24,113,50,7,In Stock
2024-03-04,P001,Wireless Mouse,Electronics,113,0,17,96,50,7,In Stock
2024-03-05,P001,Wireless Mouse,Electronics,96,0,17,79,50,7,In Stock
2024-03-06,P001,Wireless Mouse,Electronics,79,0,20,59,50,7,Reorder Soon
2024-03-07,P001,Wireless Mouse,Electronics,59,164,18,205,50,7,In Stock
2024-03-08,P001,Wireless Mouse,Electronics,205,0,19,186,50,7,In Stock
2024-03-09,P001,Wireless Mouse,Electronics,186,0,26,160,50,7,In Stock
2024-03-10,P001,Wireless Mouse,Electronics,160,0,21,139,50,7,In Stock
2024-03-11,P001,Wireless Mouse,Electronics,139,0,12,127,50,7,In Stock
2024-03-12,P001,Wireless Mouse,Electronics,127,0,16,111,50,7,In Stock
2024-03-13,P001,Wireless Mouse,Electronics,111,0,17,94,50,7,In Stock
2024-03-14,P001,Wireless Mouse,Electronics,94,0,25,69,50,7,Reorder Soon
2024-03-15,P001,Wireless Mouse,Electronics,69,0,16,53,50,7,Reorder Soon
2024-03-16,P001,Wireless Mouse,Electronics,53,166,18,201,50,7,In Stock
2024-03-17,P001,Wireless Mouse,Electronics,201,0,20,181,50,7,In Stock
2024-03-18,P001,Wireless Mouse,Electronics,181,0,19,162,50,7,In Stock
2024-03-19,P001,Wireless Mouse,Electronics,162,0,17,145,50,7,In Stock
2024-03-20,P001,Wireless Mouse,Electronics,145,0,16,129,50,7,In Stock
2024-03-21,P001,Wireless Mouse,Electronics,129,0,25,104,50,7,In Stock
2024-03-22,P001,Wireless Mouse,Electronics,104,0,21,83,50,7,In Stock
2024-03-23,P001,Wireless Mouse,Electronics,83,0,23,60,50,7,Reorder Soon
2024-03-24,P001,Wireless Mouse,Electronics,60,157,19,198,50,7,In Stock
2024-03-25,P001,Wireless Mouse,Electronics,198,0,17,181,50,7,In Stock
2024-03-26,P001,Wireless Mouse,Electronics,181,0,17,164,50,7,In Stock
2024-03-27,P001,Wireless Mouse,Electronics,164,0,15,149,50,7,In Stock
2024-03-28,P001,Wireless Mouse,Electronics,149,0,23,126,50,7,In Stock
2024-03-29,P001,Wireless Mouse,Electronics,126,0,18,108,50,7,In Stock
2024-03-30,P001,Wireless Mouse,Electronics,108,0,24,84,50,7,In Stock
2024-03-31,P001,Wireless Mouse,Electronics,84,0,18,66,50,7,Reorder Soon
2024-04-01,P001,Wireless Mouse,Electronics,66,159,20,205,50,7,In Stock
2024-04-02,P001,Wireless Mouse,Electronics,205,0,19,186,50,7,In Stock
2024-04-03,P001,Wireless Mouse,Electronics,186,0,15,171,50,7,In Stock
2024-04-04,P001,Wireless Mouse,Electronics,171,0,24,147,50,7,In Stock
2024-04-05,P001,Wireless Mouse,Electronics,147,0,18,129,50,7,In Stock
2024-04-06,P001,Wireless Mouse,Electronics,129,0,16,113,50,7,In Stock
2024-04-07,P001,Wireless Mouse,Electronics,113,0,22,91,50,7,In Stock
2024-04-08,P001,Wireless Mouse,Electronics,91,0,19,72,50,7,Reorder Soon
2024-04-09,P001,Wireless Mouse,Electronics,72,0,20,52,50,7,Reorder Soon
2024-04-10,P001,Wireless Mouse,Electronics,52,169,19,202,50,7,In Stock
2024-04-11,P001,Wireless Mouse,Electronics,202,0,13,189,50,7,In Stock
2024-04-12,P001,Wireless Mouse,Electronics,189,0,16,173,50,7,In Stock
2024-04-13,P001,Wireless Mouse,Electronics,173,0,17,156,50,7,In Stock
2024-04-14,P001,Wireless Mouse,Electronics,156,0,28,128,50,7,In Stock
2024-04-15,P001,Wireless Mouse,Electronics,128,0,19,109,50,7,In Stock
2024-04-16,P001,Wireless Mouse,Electronics,109,0,20,89,50,7,In Stock
2024-04-17,P001,Wireless Mouse,Electronics,89,0,18,71,50,7,Reorder Soon
2024-04-18,P001,Wireless Mouse,Electronics,71,0,20,51,50,7,Reorder Soon
2024-04-19,P001,Wireless Mouse,Electronics,51,165,18,198,50,7,In Stock
2024-04-20,P001,Wireless Mouse,Electronics,198,0,19,179,50,7,In Stock
2024-04-21,P001,Wireless Mouse,Electronics,179,0,20,159,50,7,In Stock
2024-04-22,P001,Wireless Mouse,Electronics,159,0,19,140,50,7,In Stock
2024-04-23,P001,Wireless Mouse,Electronics,140,0,27,113,50,7,In Stock
2024-04-24,P001,Wireless Mouse,Electronics,113,0,16,97,50,7,In Stock
2024-04-25,P001,Wireless Mouse,Electronics,97,0,14,83,50,7,In Stock
2024-04-26,P001,Wireless Mouse,Electronics,83,0,20,63,50,7,Reorder Soon
2024-04-27,P001,Wireless Mouse,Electronics,63,149,18,194,50,7,In Stock
2024-04-28,P001,Wireless Mouse,Electronics,194,0,13,181,50,7,In Stock
2024-04-29,P001,Wireless Mouse,Electronics,181,0,16,165,50,7,In Stock
2024-04-30,P001,Wireless Mouse,Electronics,165,0,26,139,50,7,In Stock
2024-05-01,P001,Wireless Mouse,Electronics,139,0,16,123,50,7,In Stock
2024-05-02,P001,Wireless Mouse,Electronics,123,0,14,109,50,7,In Stock
2024-05-03,P001,Wireless Mouse,Electronics,109,0,25,84,50,7,In Stock
2024-05-04,P001,Wireless Mouse,Electronics,84,0,16,68,50,7,Reorder Soon
2024-05-05,P001,Wireless Mouse,Electronics,68,166,29,205,50,7,In Stock
2024-05-06,P001,Wireless Mouse,Electronics,205,0,18,187,50,7,In Stock
2024-05-07,P001,Wireless Mouse,Electronics,187,0,24,163,50,7,In Stock
2024-05-08,P001,Wireless Mouse,Electronics,163,0,18,145,50,7,In Stock
2024-05-09,P001,Wireless Mouse,Electronics,145,0,20,125,50,7,In Stock
2024-05-10,P001,Wireless Mouse,Electronics,125,0,19,106,50,7,In Stock
2024-05-11,P001,Wireless Mouse,Electronics,106,0,19,87,50,7,In Stock
2024-05-12,P001,Wireless Mouse,Electronics,87,0,21,66,50,7,Reorder Soon
2024-05-13,P001,Wireless Mouse,Electronics,66,156,21,201,50,7,In Stock
2024-05-14,P001,Wireless Mouse,Electronics,201,0,20,181,50,7,In Stock
2024-05-15,P001,Wireless Mouse,Electronics,181,0,19,162,50,7,In Stock
2024-05-16,P001,Wireless Mouse,Electronics,162,0,17,145,50,7,In Stock
2024-05-17,P001,Wireless Mouse,Electronics,145,0,27,118,50,7,In Stock
2024-05-18,P001,Wireless Mouse,Electronics,118,0,25,93,50,7,In Stock
2024-05-19,P001,Wireless Mouse,Electronics,93,0,18,75,50,7,Reorder Soon
2024-05-20,P001,Wireless Mouse,Electronics,75,0,20,55,50,7,Reorder Soon
2024-05-21,P001,Wireless Mouse,Electronics,55,176,23,208,50,7,In Stock
2024-05-22,P001,Wireless Mouse,Electronics,208,0,21,187,50,7,In Stock
2024-05-23,P001,Wireless Mouse,Electronics,187,0,22,165,50,7,In Stock
2024-05-24,P001,Wireless Mouse,Electronics,165,0,16,149,50,7,In Stock
2024-05-25,P001,Wireless Mouse,Electronics,149,0,21,128,50,7,In Stock
2024-05-26,P001,Wireless Mouse,Electronics,128,0,19,109,50,7,In Stock
2024-05-27,P001,Wireless Mouse,Electronics,109,0,18,91,50,7,In Stock
2024-05-28,P001,Wireless Mouse,Electronics,91,0,24,67,50,7,Reorder Soon
2024-05-29,P001,Wireless Mouse,Electronics,67,149,18,198,50,7,In Stock
2024-05-30,P001,Wireless Mouse,Electronics,198,0,20,178,50,7,In Stock
2024-05-31,P001,Wireless Mouse,Electronics,178,0,14,164,50,7,In Stock
2024-06-01,P001,Wireless Mouse,Electronics,164,0,26,138,50,7,In Stock
2024-06-02,P001,Wireless Mouse,Electronics,138,0,23,115,50,7,In Stock
2024-06-03,P001,Wireless Mouse,Electronics,115,0,19,96,50,7,In Stock
2024-06-04,P001,Wireless Mouse,Electronics,96,0,18,78,50,7,In Stock
2024-06-05,P001,Wireless Mouse,Electronics,78,0,21,57,50,7,Reorder Soon
2024-06-06,P001,Wireless Mouse,Electronics,57,161,23,195,50,7,In Stock
2024-06-07,P001,Wireless Mouse,Electronics,195,0,25,170,50,7,In Stock
2024-06-08,P001,Wireless Mouse,Electronics,170,0,23,147,50,7,In Stock
2024-06-09,P001,Wireless Mouse,Electronics,147,0,20,127,50,7,In Stock
2024-06-10,P001,Wireless Mouse,Electronics,127,0,22,105,50,7,In Stock
2024-06-11,P001,Wireless Mouse,Electronics,105,0,22,83,50,7,In Stock
2024-06-12,P001,Wireless Mouse,Electronics,83,0,20,63,50,7,Reorder Soon
2024-06-13,P001,Wireless Mouse,Electronics,63,150,22,191,50,7,In Stock
2024-06-14,P001,Wireless Mouse,Electronics,191,0,22,169,50,7,In Stock
2024-06-15,P001,Wireless Mouse,Electronics,169,0,20,149,50,7,In Stock
2024-06-16,P001,Wireless Mouse,Electronics,149,0,19,130,50,7,In Stock
2024-06-17,P001,Wireless Mouse,Electronics,130,0,21,109,50,7,In Stock
2024-06-18,P001,Wireless Mouse,Electronics,109,0,16,93,50,7,In Stock
2024-06-19,P001,Wireless Mouse,Electronics,93,0,16,77,50,7,In Stock
2024-06-20,P001,Wireless Mouse,Electronics,77,0,20,57,50,7,Reorder Soon
2024-06-21,P001,Wireless Mouse,Electronics,57,159,21,195,50,7,In Stock
2024-06-22,P001,Wireless Mouse,Electronics,195,0,21,174,50,7,In Stock
2024-06-23,P001,Wireless Mouse,Electronics,174,0,22,152,50,7,In Stock
2024-06-24,P001,Wireless Mouse,Electronics,152,0,13,139,50,7,In Stock
2024-06-25,P001,Wireless Mouse,Electronics,139,0,21,118,50,7,In Stock
2024-06-26,P001,Wireless Mouse,Electronics,118,0,24,94,50,7,In Stock
2024-06-27,P001,Wireless Mouse,Electronics,94,0,22,72,50,7,Reorder Soon
2024-06-28,P001,Wireless Mouse,Electronics,72,155,22,205,50,7,In Stock
2024-06-29,P001,Wireless Mouse,Electronics,205,0,21,184,50,7,In Stock
2024-06-30,P001,Wireless Mouse,Electronics,184,0,21,163,50,7,In Stock
2024-07-01,P001,Wireless Mouse,Electronics,163,0,19,144,50,7,In Stock
2024-07-02,P001,Wireless Mouse,Electronics,144,0,21,123,50,7,In Stock
2024-07-03,P001,Wireless Mouse,Electronics,123,0,16,107,50,7,In Stock
2024-07-04,P001,Wireless Mouse,Electronics,107,0,24,83,50,7,In Stock
2024-07-05,P001,Wireless Mouse,Electronics,83,0,17,66,50,7,Reorder Soon
2024-07-06,P001,Wireless Mouse,Electronics,66,153,23,196,50,7,In Stock
2024-07-07,P001,Wireless Mouse,Electronics,196,0,25,171,50,7,In Stock
2024-07-08,P001,Wireless Mouse,Electronics,171,0,22,149,50,7,In Stock
2024-07-09,P001,Wireless Mouse,Electronics,149,0,27,122,50,7,In Stock
2024-07-10,P001,Wireless Mouse,Electronics,122,0,13,109,50,7,In Stock
2024-07-11,P001,Wireless Mouse,Electronics,109,0,18,91,50,7,In Stock
2024-07-12,P001,Wireless Mouse,Electronics,91,0,17,74,50,7,Reorder Soon
2024-07-13,P001,Wireless Mouse,Electronics,74,0,15,59,50,7,Reorder Soon
2024-07-14,P001,Wireless Mouse,Electronics,59,164,22,201,50,7,In Stock
2024-07-15,P001,Wireless Mouse,Electronics,201,0,20,181,50,7,In Stock
2024-07-16,P001,Wireless Mouse,Electronics,181,0,12,169,50,7,In Stock
2024-07-17,P001,Wireless Mouse,Electronics,169,0,18,151,50,7,In Stock
2024-07-18,P001,Wireless Mouse,Electronics,151,0,22,129,50,7,In Stock
2024-07-19,P001,Wireless Mouse,Electronics,129,0,18,111,50,7,In Stock
2024-07-20,P001,Wireless Mouse,Electronics,111,0,23,88,50,7,In Stock
2024-07-21,P001,Wireless Mouse,Electronics,88,0,22,66,50,7,Reorder Soon
2024-07-22,P001,Wireless Mouse,Electronics,66,147,19,194,50,7,In Stock
2024-07-23,P001,Wireless Mouse,Electronics,194,0,22,172,50,7,In Stock
2024-07-24,P001,Wireless Mouse,Electronics,172,0,21,151,50,7,In Stock
2024-07-25,P001,Wireless Mouse,Electronics,151,0,25,126,50,7,In Stock
2024-07-26,P001,Wireless Mouse,Electronics,126,0,13,113,50,7,In Stock
2024-07-27,P001,Wireless Mouse,Electronics,113,0,16,97,50,7,In Stock
2024-07-28,P001,Wireless Mouse,Electronics,97,0,18,79,50,7,In Stock
2024-07-29,P001,Wireless Mouse,Electronics,79,0,19,60,50,7,Reorder Soon
2024-07-30,P001,Wireless Mouse,Electronics,60,172,23,209,50,7,In Stock
2024-07-31,P001,Wireless Mouse,Electronics,209,0,19,190,50,7,In Stock
2024-08-01,P001,Wireless Mouse,Electronics,190,0,19,171,50,7,In Stock
2024-08-02,P001,Wireless Mouse,Electronics,171,0,20,151,50,7,In Stock
2024-08-03,P001,Wireless Mouse,Electronics,151,0,19,132,50,7,In Stock
2024-08-04,P001,Wireless Mouse,Electronics,132,0,18,114,50,7,In Stock
2024-08-05,P001,Wireless Mouse,Electronics,114,0,22,92,50,7,In Stock
2024-08-06,P001,Wireless Mouse,Electronics,92,0,15,77,50,7,In Stock
2024-08-07,P001,Wireless Mouse,Electronics,77,0,16,61,50,7,Reorder Soon
2024-08-08,P001,Wireless Mouse,Electronics,61,163,16,208,50,7,In Stock
2024-08-09,P001,Wireless Mouse,Electronics,208,0,18,190,50,7,In Stock
2024-08-10,P001,Wireless Mouse,Electronics,190,0,17,173,50,7,In Stock
2024-08-11,P001,Wireless Mouse,Electronics,173,0,22,151,50,7,In Stock
2024-08-12,P001,Wireless Mouse,Electronics,151,0,21,130,50,7,In Stock
2024-08-13,P001,Wireless Mouse,Electronics,130,0,24,106,50,7,In Stock
2024-08-14,P001,Wireless Mouse,Electronics,106,0,15,91,50,7,In Stock
2024-08-15,P001,Wireless Mouse,Electronics,91,0,22,69,50,7,Reorder Soon
2024-08-16,P001,Wireless Mouse,Electronics,69,158,21,206,50,7,In Stock
2024-08-17,P001,Wireless Mouse,Electronics,206,0,22,184,50,7,In Stock
2024-08-18,P001,Wireless Mouse,Electronics,184,0,28,156,50,7,In Stock
2024-08-19,P001,Wireless Mouse,Electronics,156,0,20,136,50,7,In Stock
2024-08-20,P001,Wireless Mouse,Electronics,136,0,17,119,50,7,In Stock
2024-08-21,P001,Wireless Mouse,Electronics,119,0,20,99,50,7,In Stock
2024-08-22,P001,Wireless Mouse,Electronics,99,0,17,82,50,7,In Stock
2024-08-23,P001,Wireless Mouse,Electronics,82,0,13,69,50,7,Reorder Soon
2024-08-24,P001,Wireless Mouse,Electronics,69,155,19,205,50,7,In Stock
2024-08-25,P001,Wireless Mouse,Electronics,205,0,27,178,50,7,In Stock
2024-08-26,P001,Wireless Mouse,Electronics,178,0,17,161,50,7,In Stock
2024-08-27,P001,Wireless Mouse,Electronics,161,0,19,142,50,7,In Stock
2024-08-28,P001,Wireless Mouse,Electronics,142,0,21,121,50,7,In Stock
2024-08-29,P001,Wireless Mouse,Electronics,121,0,19,102,50,7,In Stock
2024-08-30,P001,Wireless Mouse,Electronics,102,0,16,86,50,7,In Stock
2024-08-31,P001,Wireless Mouse,Electronics,86,0,30,56,50,7,Reorder Soon
2024-09-01,P001,Wireless Mouse,Electronics,56,171,26,201,50,7,In Stock
2024-09-02,P001,Wireless Mouse,Electronics,201,0,22,179,50,7,In Stock
2024-09-03,P001,Wireless Mouse,Electronics,179,0,19,160,50,7,In Stock
2024-09-04,P001,Wireless Mouse,Electronics,160,0,21,139,50,7,In Stock
2024-09-05,P001,Wireless Mouse,Electronics,139,0,22,117,50,7,In Stock
2024-09-06,P001,Wireless Mouse,Electronics,117,0,21,96,50,7,In Stock
2024-09-07,P001,Wireless Mouse,Electronics,96,0,23,73,50,7,Reorder Soon
2024-09-08,P001,Wireless Mouse,Electronics,73,141,24,190,50,7,In Stock
2024-09-09,P001,Wireless Mouse,Electronics,190,0,19,171,50,7,In Stock
2024-09-10,P001,Wireless Mouse,Electronics,171,0,15,156,50,7,In Stock
2024-09-11,P001,Wireless Mouse,Electronics,156,0,23,133,50,7,In Stock
2024-09-12,P001,Wireless Mouse,Electronics,133,0,15,118,50,7,In Stock
2024-09-13,P001,Wireless Mouse,Electronics,118,0,18,100,50,7,In Stock
2024-09-14,P001,Wireless Mouse,Electronics,100,0,23,77,50,7,In Stock
2024-09-15,P001,Wireless Mouse,Electronics,77,0,23,54,50,7,Reorder Soon
2024-09-16,P001,Wireless Mouse,Electronics,54,155,19,190,50,7,In Stock
2024-09-17,P001,Wireless Mouse,Electronics,190,0,20,170,50,7,In Stock
2024-09-18,P001,Wireless Mouse,Electronics,170,0,21,149,50,7,In Stock
2024-09-19,P001,Wireless Mouse,Electronics,149,0,18,131,50,7,In Stock
2024-09-20,P001,Wireless Mouse,Electronics,131,0,25,106,50,7,In Stock
2024-09-21,P001,Wireless Mouse,Electronics,106,0,18,88,50,7,In Stock
2024-09-22,P001,Wireless Mouse,Electronics,88,0,21,67,50,7,Reorder Soon
2024-09-23,P001,Wireless Mouse,Electronics,67,151,19,199,50,7,In Stock
2024-09-24,P001,Wireless Mouse,Electronics,199,0,21,178,50,7,In Stock
2024-09-25,P001,Wireless Mouse,Electronics,178,0,25,153,50,7,In Stock
2024-09-26,P001,Wireless Mouse,Electronics,153,0,17,136,50,7,In Stock
2024-09-27,P001,Wireless Mouse,Electronics,136,0,22,114,50,7,In Stock
2024-09-28,P001,Wireless Mouse,Electronics,114,0,23,91,50,7,In Stock
2024-09-29,P001,Wireless Mouse,Electronics,91,0,25,66,50,7,Reorder Soon
2024-09-30,P001,Wireless Mouse,Electronics,66,157,18,205,50,7,In Stock
2024-10-01,P001,Wireless Mouse,Electronics,205,0,18,187,50,7,In Stock
2024-10-02,P001,Wireless Mouse,Electronics,187,0,20,167,50,7,In Stock
2024-10-03,P001,Wireless Mouse,Electronics,167,0,20,147,50,7,In Stock
2024-10-04,P001,Wireless Mouse,Electronics,147,0,17,130,50,7,In Stock
2024-10-05,P001,Wireless Mouse,Electronics,130,0,24,106,50,7,In Stock
2024-10-06,P001,Wireless Mouse,Electronics,106,0,23,83,50,7,In Stock
2024-10-07,P001,Wireless Mouse,Electronics,83,0,27,56,50,7,Reorder Soon
2024-10-08,P001,Wireless Mouse,Electronics,56,155,19,192,50,7,In Stock
2024-10-09,P001,Wireless Mouse,Electronics,192,0,17,175,50,7,In Stock
2024-10-10,P001,Wireless Mouse,Electronics,175,0,17,158,50,7,In Stock
2024-10-11,P001,Wireless Mouse,Electronics,158,0,21,137,50,7,In Stock
2024-10-12,P001,Wireless Mouse,Electronics,137,0,19,118,50,7,In Stock
2024-10-13,P001,Wireless Mouse,Electronics,118,0,24,94,50,7,In Stock
2024-10-14,P001,Wireless Mouse,Electronics,94,0,26,68,50,7,Reorder Soon
2024-10-15,P001,Wireless Mouse,Electronics,68,154,21,201,50,7,In Stock
2024-10-16,P001,Wireless Mouse,Electronics,201,0,20,181,50,7,In Stock
2024-10-17,P001,Wireless Mouse,Electronics,181,0,17,164,50,7,In Stock
2024-10-18,P001,Wireless Mouse,Electronics,164,0,16,148,50,7,In Stock
2024-10-19,P001,Wireless Mouse,Electronics,148,0,26,122,50,7,In Stock
2024-10-20,P001,Wireless Mouse,Electronics,122,0,23,99,50,7,In Stock
2024-10-21,P001,Wireless Mouse,Electronics,99,0,17,82,50,7,In Stock
2024-10-22,P001,Wireless Mouse,Electronics,82,0,17,65,50,7,Reorder Soon
2024-10-23,P001,Wireless Mouse,Electronics,65,172,27,210,50,7,In Stock
2024-10-24,P001,Wireless Mouse,Electronics,210,0,18,192,50,7,In Stock
2024-10-25,P001,Wireless Mouse,Electronics,192,0,26,166,50,7,In Stock
2024-10-26,P001,Wireless Mouse,Electronics,166,0,22,144,50,7,In Stock
2024-10-27,P001,Wireless Mouse,Electronics,144,0,16,128,50,7,In Stock
2024-10-28,P001,Wireless Mouse,Electronics,128,0,24,104,50,7,In Stock
2024-10-29,P001,Wireless Mouse,Electronics,104,0,21,83,50,7,In Stock
2024-10-30,P001,Wireless Mouse,Electronics,83,0,22,61,50,7,Reorder Soon
2024-10-31,P001,Wireless Mouse,Electronics,61,190,44,207,50,7,In Stock
2024-11-01,P001,Wireless Mouse,Electronics,207,0,18,189,50,7,In Stock
2024-11-02,P001,Wireless Mouse,Electronics,189,0,24,165,50,7,In Stock
2024-11-03,P001,Wireless Mouse,Electronics,165,0,22,143,50,7,In Stock
2024-11-04,P001,Wireless Mouse,Electronics,143,0,17,126,50,7,In Stock
2024-11-05,P001,Wireless Mouse,Electronics,126,0,16,110,50,7,In Stock
2024-11-06,P001,Wireless Mouse,Electronics,110,0,18,92,50,7,In Stock
2024-11-07,P001,Wireless Mouse,Electronics,92,0,23,69,50,7,Reorder Soon
2024-11-08,P001,Wireless Mouse,Electronics,69,151,19,201,50,7,In Stock
2024-11-09,P001,Wireless Mouse,Electronics,201,0,20,181,50,7,In Stock
2024-11-10,P001,Wireless Mouse,Electronics,181,0,28,153,50,7,In Stock
2024-11-11,P001,Wireless Mouse,Electronics,153,0,24,129,50,7,In Stock
2024-11-12,P001,Wireless Mouse,Electronics,129,0,25,104,50,7,In Stock
2024-11-13,P001,Wireless Mouse,Electronics,104,0,13,91,50,7,In Stock
2024-11-14,P001,Wireless Mouse,Electronics,91,0,29,62,50,7,Reorder Soon
2024-11-15,P001,Wireless Mouse,Electronics,62,154,14,202,50,7,In Stock
2024-11-16,P001,Wireless Mouse,Electronics,202,0,21,181,50,7,In Stock
2024-11-17,P001,Wireless Mouse,Electronics,181,0,18,163,50,7,In Stock
2024-11-18,P001,Wireless Mouse,Electronics,163,0,22,141,50,7,In Stock
2024-11-19,P001,Wireless Mouse,Electronics,141,0,23,118,50,7,In Stock
2024-11-20,P001,Wireless Mouse,Electronics,118,0,21,97,50,7,In Stock
2024-11-21,P001,Wireless Mouse,Electronics,97,0,20,77,50,7,In Stock
2024-11-22,P001,Wireless Mouse,Electronics,77,0,15,62,50,7,Reorder Soon
2024-11-23,P001,Wireless Mouse,Electronics,62,149,20,191,50,7,In Stock
2024-11-24,P001,Wireless Mouse,Electronics,191,0,21,170,50,7,In Stock
2024-11-25,P001,Wireless Mouse,Electronics,170,0,17,153,50,7,In Stock
2024-11-26,P001,Wireless Mouse,Electronics,153,0,22,131,50,7,In Stock
2024-11-27,P001,Wireless Mouse,Electronics,131,0,21,110,50,7,In Stock
2024-11-28,P001,Wireless Mouse,Electronics,110,0,20,90,50,7,In Stock
2024-11-29,P001,Wireless Mouse,Electronics,90,0,21,69,50,7,Reorder Soon
2024-11-30,P001,Wireless Mouse,Electronics,69,142,21,190,50,7,In Stock
