date,product_id,product_name,category,opening_stock,stock_received,units_sold,closing_stock,reorder_point,lead_time_days,stock_status,year,month,day,day_of_week,week_of_year,quarter,is_weekend,lag_1,lag_7,lag_14,rolling_7,rolling_30,predicted_demand,lead_time_demand,safety_stock,recommended_stock,reorder_recommendation,reorder_quantity
2025-09-01,P001,Wireless Mouse,Electronics,197,0,22,175,50,7,In Stock,2025,9,1,0,36,3,0,27.0,28.0,23.0,24.428571428571427,23.5,22.26,155.82,12.21,168.03,NO REORDER,0.0
2025-09-02,P001,Wireless Mouse,Electronics,175,0,13,162,50,7,In Stock,2025,9,2,1,36,3,0,22.0,18.0,22.0,23.571428571428573,23.33333333333333,22.33,156.31,11.79,168.1,REORDER,6.0
2025-09-03,P001,Wireless Mouse,Electronics,162,0,16,146,50,7,In Stock,2025,9,3,2,36,3,0,13.0,24.0,25.0,22.857142857142858,23.03333333333333,22.52,157.64,11.43,169.07,REORDER,23.0
2025-09-04,P001,Wireless Mouse,Electronics,146,0,19,127,50,7,In Stock,2025,9,4,3,36,3,0,16.0,21.0,28.0,21.714285714285715,22.8,22.52,157.64,10.86,168.5,REORDER,41.0
2025-09-05,P001,Wireless Mouse,Electronics,127,0,23,104,50,7,In Stock,2025,9,5,4,36,3,0,19.0,20.0,22.0,21.428571428571427,22.5,22.56,157.92,10.71,168.63,REORDER,65.0
2025-09-06,P001,Wireless Mouse,Electronics,104,0,26,78,50,7,In Stock,2025,9,6,5,36,3,1,23.0,33.0,31.0,21.857142857142858,22.666666666666668,23.31,163.17,10.93,174.1,REORDER,96.0
2025-09-07,P001,Wireless Mouse,Electronics,78,0,21,57,50,7,Reorder Soon,2025,9,7,6,36,3,1,26.0,27.0,19.0,20.857142857142858,22.83333333333333,24.86,174.02,10.43,184.45,REORDER,127.0
2025-09-08,P001,Wireless Mouse,Electronics,57,160,26,191,50,7,In Stock,2025,9,8,0,37,3,0,21.0,22.0,28.0,20.0,22.966666666666665,22.24,155.68,10.0,165.68,NO REORDER,0.0
2025-09-09,P001,Wireless Mouse,Electronics,191,0,25,166,50,7,In Stock,2025,9,9,1,37,3,0,26.0,13.0,18.0,20.571428571428573,23.133333333333333,24.17,169.19,10.29,179.48,REORDER,13.0
2025-09-10,P001,Wireless Mouse,Electronics,166,0,21,145,50,7,In Stock,2025,9,10,2,37,3,0,25.0,16.0,24.0,22.285714285714285,22.933333333333334,22.44,157.08,11.14,168.22,REORDER,23.0
2025-09-11,P001,Wireless Mouse,Electronics,145,0,19,126,50,7,In Stock,2025,9,11,3,37,3,0,21.0,19.0,21.0,23.0,22.83333333333333,22.86,160.02,11.5,171.52,REORDER,46.0
2025-09-12,P001,Wireless Mouse,Electronics,126,0,15,111,50,7,In Stock,2025,9,12,4,37,3,0,19.0,23.0,20.0,23.0,22.73333333333333,21.34,149.38,11.5,160.88,REORDER,50.0
2025-09-13,P001,Wireless Mouse,Electronics,111,0,25,86,50,7,In Stock,2025,9,13,5,37,3,1,15.0,26.0,33.0,21.857142857142858,22.5,23.89,167.23,10.93,178.16,REORDER,92.0
2025-09-14,P001,Wireless Mouse,Electronics,86,0,24,62,50,7,Reorder Soon,2025,9,14,6,37,3,1,25.0,21.0,27.0,21.714285714285715,22.666666666666668,24.6,172.2,10.86,183.06,REORDER,121.0
2025-09-15,P001,Wireless Mouse,Electronics,62,167,25,204,50,7,In Stock,2025,9,15,0,38,3,0,24.0,26.0,22.0,22.142857142857142,22.53333333333333,21.32,149.24,11.07,160.31,NO REORDER,0.0
2025-09-16,P001,Wireless Mouse,Electronics,204,0,28,176,50,7,In Stock,2025,9,16,1,38,3,0,25.0,25.0,13.0,22.0,22.73333333333333,22.21,155.47,11.0,166.47,NO REORDER,0.0
2025-09-17,P001,Wireless Mouse,Electronics,176,0,29,147,50,7,In Stock,2025,9,17,2,38,3,0,28.0,21.0,16.0,22.428571428571427,22.966666666666665,23.47,164.29,11.21,175.5,REORDER,29.0
2025-09-18,P001,Wireless Mouse,Electronics,147,0,27,120,50,7,In Stock,2025,9,18,3,38,3,0,29.0,19.0,19.0,23.571428571428573,23.166666666666668,23.59,165.13,11.79,176.92,REORDER,57.0
2025-09-19,P001,Wireless Mouse,Electronics,120,0,22,98,50,7,In Stock,2025,9,19,4,38,3,0,27.0,15.0,23.0,24.714285714285715,23.33333333333333,22.95,160.65,12.36,173.01,REORDER,75.0
2025-09-20,P001,Wireless Mouse,Electronics,98,0,24,74,50,7,Reorder Soon,2025,9,20,5,38,3,1,22.0,25.0,26.0,25.714285714285715,23.23333333333333,23.6,165.2,12.86,178.06,REORDER,104.0
2025-09-21,P001,Wireless Mouse,Electronics,74,144,28,190,50,7,In Stock,2025,9,21,6,38,3,1,24.0,24.0,21.0,25.571428571428573,23.1,24.88,174.16,12.79,186.95,NO REORDER,0.0
2025-09-22,P001,Wireless Mouse,Electronics,190,0,20,170,50,7,In Stock,2025,9,22,0,39,3,0,28.0,25.0,26.0,26.142857142857142,23.3,21.38,149.66,13.07,162.73,NO REORDER,0.0
2025-09-23,P001,Wireless Mouse,Electronics,170,0,20,150,50,7,In Stock,2025,9,23,1,39,3,0,20.0,28.0,25.0,25.428571428571427,22.933333333333334,21.84,152.88,12.71,165.59,REORDER,16.0
2025-09-24,P001,Wireless Mouse,Electronics,150,0,26,124,50,7,In Stock,2025,9,24,2,39,3,0,20.0,29.0,21.0,24.285714285714285,22.966666666666665,22.22,155.54,12.14,167.68,REORDER,44.0
2025-09-25,P001,Wireless Mouse,Electronics,124,0,30,94,50,7,In Stock,2025,9,25,3,39,3,0,26.0,27.0,19.0,23.857142857142858,22.9,22.88,160.16,11.93,172.09,REORDER,78.0
2025-09-26,P001,Wireless Mouse,Electronics,94,0,27,67,50,7,Reorder Soon,2025,9,26,4,39,3,0,30.0,22.0,15.0,24.285714285714285,23.3,24.26,169.82,12.14,181.96,REORDER,115.0
2025-09-27,P001,Wireless Mouse,Electronics,67,150,27,190,50,7,In Stock,2025,9,27,5,39,3,1,27.0,24.0,25.0,25.0,23.4,22.82,159.74,12.5,172.24,NO REORDER,0.0
2025-09-28,P001,Wireless Mouse,Electronics,190,0,24,166,50,7,In Stock,2025,9,28,6,39,3,1,27.0,28.0,24.0,25.428571428571427,23.6,23.58,165.06,12.71,177.77,REORDER,12.0
2025-09-29,P001,Wireless Mouse,Electronics,166,0,20,146,50,7,In Stock,2025,9,29,0,40,3,0,24.0,20.0,25.0,24.857142857142858,23.73333333333333,21.24,148.68,12.43,161.11,REORDER,15.0
2025-09-30,P001,Wireless Mouse,Electronics,146,0,26,120,50,7,In Stock,2025,9,30,1,40,3,0,20.0,20.0,28.0,24.857142857142858,23.3,21.28,148.96,12.43,161.39,REORDER,41.0
2025-10-01,P001,Wireless Mouse,Electronics,120,0,29,91,50,7,In Stock,2025,10,1,2,40,4,0,26.0,26.0,29.0,25.714285714285715,23.266666666666666,23.24,162.68,12.86,175.54,REORDER,85.0
2025-10-02,P001,Wireless Mouse,Electronics,91,0,22,69,50,7,Reorder Soon,2025,10,2,3,40,4,0,29.0,30.0,27.0,26.142857142857142,23.5,22.92,160.44,13.07,173.51,REORDER,105.0
2025-10-03,P001,Wireless Mouse,Electronics,69,159,21,207,50,7,In Stock,2025,10,3,4,40,4,0,22.0,27.0,22.0,25.0,23.8,23.0,161.0,12.5,173.5,NO REORDER,0.0
2025-10-04,P001,Wireless Mouse,Electronics,207,0,25,182,50,7,In Stock,2025,10,4,5,40,4,1,21.0,27.0,24.0,24.142857142857142,23.966666666666665,25.94,181.58,12.07,193.65,REORDER,12.0
2025-10-05,P001,Wireless Mouse,Electronics,182,0,26,156,50,7,In Stock,2025,10,5,6,40,4,1,25.0,24.0,28.0,23.857142857142858,24.166666666666668,25.02,175.14,11.93,187.07,REORDER,31.0
2025-10-06,P001,Wireless Mouse,Electronics,156,0,19,137,50,7,In Stock,2025,10,6,0,41,4,0,26.0,20.0,20.0,24.142857142857142,24.266666666666666,22.74,159.18,12.07,171.25,REORDER,34.0
2025-10-07,P001,Wireless Mouse,Electronics,137,0,26,111,50,7,In Stock,2025,10,7,1,41,4,0,19.0,26.0,20.0,24.0,24.03333333333333,23.56,164.92,12.0,176.92,REORDER,66.0
2025-10-08,P001,Wireless Mouse,Electronics,111,0,35,76,50,7,In Stock,2025,10,8,2,41,4,0,26.0,29.0,26.0,24.0,24.2,22.81,159.67,12.0,171.67,REORDER,96.0
2025-10-09,P001,Wireless Mouse,Electronics,76,0,23,53,50,7,Reorder Soon,2025,10,9,3,41,4,0,35.0,22.0,30.0,24.857142857142858,24.5,23.16,162.12,12.43,174.55,REORDER,122.0
2025-10-10,P001,Wireless Mouse,Electronics,53,168,26,195,50,7,In Stock,2025,10,10,4,41,4,0,23.0,21.0,27.0,25.0,24.433333333333334,21.96,153.72,12.5,166.22,NO REORDER,0.0
2025-10-11,P001,Wireless Mouse,Electronics,195,0,23,172,50,7,In Stock,2025,10,11,5,41,4,1,26.0,25.0,27.0,25.714285714285715,24.6,24.16,169.12,12.86,181.98,REORDER,10.0
2025-10-12,P001,Wireless Mouse,Electronics,172,0,16,156,50,7,In Stock,2025,10,12,6,41,4,1,23.0,26.0,24.0,25.428571428571427,24.73333333333333,25.17,176.19,12.71,188.9,REORDER,33.0
2025-10-13,P001,Wireless Mouse,Electronics,156,0,26,130,50,7,In Stock,2025,10,13,0,42,4,0,16.0,19.0,20.0,24.0,24.766666666666666,23.58,165.06,12.0,177.06,REORDER,47.0
2025-10-14,P001,Wireless Mouse,Electronics,130,0,21,109,50,7,In Stock,2025,10,14,1,42,4,0,26.0,26.0,26.0,25.0,24.8,23.94,167.58,12.5,180.08,REORDER,71.0
2025-10-15,P001,Wireless Mouse,Electronics,109,0,20,89,50,7,In Stock,2025,10,15,2,42,4,0,21.0,35.0,29.0,24.285714285714285,24.7,22.61,158.27,12.14,170.41,REORDER,81.0
2025-10-16,P001,Wireless Mouse,Electronics,89,0,16,73,50,7,Reorder Soon,2025,10,16,3,42,4,0,20.0,23.0,22.0,22.142857142857142,24.53333333333333,24.22,169.54,11.07,180.61,REORDER,108.0
2025-10-17,P001,Wireless Mouse,Electronics,73,162,26,209,50,7,In Stock,2025,10,17,4,42,4,0,16.0,26.0,21.0,21.142857142857142,24.133333333333333,24.76,173.32,10.57,183.89,NO REORDER,0.0
2025-10-18,P001,Wireless Mouse,Electronics,209,0,15,194,50,7,In Stock,2025,10,18,5,42,4,1,26.0,23.0,25.0,21.142857142857142,24.03333333333333,26.9,188.3,10.57,198.87,REORDER,5.0
2025-10-19,P001,Wireless Mouse,Electronics,194,0,29,165,50,7,In Stock,2025,10,19,6,42,4,1,15.0,16.0,26.0,20.0,23.633333333333333,25.01,175.07,10.0,185.07,REORDER,20.0
2025-10-20,P001,Wireless Mouse,Electronics,165,0,22,143,50,7,In Stock,2025,10,20,0,43,4,0,29.0,26.0,19.0,21.857142857142858,23.866666666666667,24.58,172.06,10.93,182.99,REORDER,40.0
2025-10-21,P001,Wireless Mouse,Electronics,143,0,26,117,50,7,In Stock,2025,10,21,1,43,4,0,22.0,21.0,26.0,21.285714285714285,23.8,24.92,174.44,10.64,185.08,REORDER,68.0
2025-10-22,P001,Wireless Mouse,Electronics,117,0,25,92,50,7,In Stock,2025,10,22,2,43,4,0,26.0,20.0,35.0,22.0,23.73333333333333,25.88,181.16,11.0,192.16,REORDER,100.0
2025-10-23,P001,Wireless Mouse,Electronics,92,0,30,62,50,7,Reorder Soon,2025,10,23,3,43,4,0,25.0,16.0,23.0,22.714285714285715,23.9,23.28,162.96,11.36,174.32,REORDER,112.0
2025-10-24,P001,Wireless Mouse,Electronics,62,165,25,202,50,7,In Stock,2025,10,24,4,43,4,0,30.0,26.0,26.0,24.714285714285715,24.23333333333333,21.09,147.63,12.36,159.99,NO REORDER,0.0
2025-10-25,P001,Wireless Mouse,Electronics,202,0,22,180,50,7,In Stock,2025,10,25,5,43,4,1,25.0,15.0,23.0,24.571428571428573,24.2,23.3,163.1,12.29,175.39,NO REORDER,0.0
2025-10-26,P001,Wireless Mouse,Electronics,180,0,24,156,50,7,In Stock,2025,10,26,6,43,4,1,22.0,29.0,16.0,25.571428571428573,23.933333333333334,24.59,172.13,12.79,184.92,REORDER,29.0
2025-10-27,P001,Wireless Mouse,Electronics,156,0,24,132,50,7,In Stock,2025,10,27,0,44,4,0,24.0,22.0,26.0,24.857142857142858,23.83333333333333,22.08,154.56,12.43,166.99,REORDER,35.0
2025-10-28,P001,Wireless Mouse,Electronics,132,0,24,108,50,7,In Stock,2025,10,28,1,44,4,0,24.0,26.0,21.0,25.142857142857142,23.73333333333333,22.8,159.6,12.57,172.17,REORDER,64.0
2025-10-29,P001,Wireless Mouse,Electronics,108,0,23,85,50,7,In Stock,2025,10,29,2,44,4,0,24.0,25.0,20.0,24.857142857142858,23.73333333333333,23.14,161.98,12.43,174.41,REORDER,89.0
2025-10-30,P001,Wireless Mouse,Electronics,85,0,16,69,50,7,Reorder Soon,2025,10,30,3,44,4,0,23.0,30.0,16.0,24.571428571428573,23.83333333333333,24.62,172.34,12.29,184.63,REORDER,116.0
2025-10-31,P001,Wireless Mouse,Electronics,69,180,48,201,50,7,In Stock,2025,10,31,4,44,4,0,16.0,25.0,26.0,22.571428571428573,23.5,24.74,173.18,11.29,184.47,NO REORDER,0.0
2025-11-01,P001,Wireless Mouse,Electronics,201,0,26,175,50,7,In Stock,2025,11,1,5,44,4,1,48.0,22.0,15.0,25.857142857142858,24.133333333333333,26.22,183.54,12.93,196.47,REORDER,21.0
2025-11-02,P001,Wireless Mouse,Electronics,175,0,26,149,50,7,In Stock,2025,11,2,6,44,4,1,26.0,24.0,29.0,26.428571428571427,24.266666666666666,24.66,172.62,13.21,185.83,REORDER,37.0
2025-11-03,P001,Wireless Mouse,Electronics,149,0,34,115,50,7,In Stock,2025,11,3,0,45,4,0,26.0,24.0,22.0,26.714285714285715,24.433333333333334,23.47,164.29,13.36,177.65,REORDER,63.0
2025-11-04,P001,Wireless Mouse,Electronics,115,0,20,95,50,7,In Stock,2025,11,4,1,45,4,0,34.0,24.0,26.0,28.142857142857142,24.73333333333333,23.88,167.16,14.07,181.23,REORDER,86.0
2025-11-05,P001,Wireless Mouse,Electronics,95,0,25,70,50,7,Reorder Soon,2025,11,5,2,45,4,0,20.0,23.0,25.0,27.571428571428573,24.53333333333333,23.24,162.68,13.79,176.47,REORDER,106.0
2025-11-06,P001,Wireless Mouse,Electronics,70,148,20,198,50,7,In Stock,2025,11,6,3,45,4,0,25.0,16.0,30.0,27.857142857142858,24.73333333333333,22.53,157.71,13.93,171.64,NO REORDER,0.0
2025-11-07,P001,Wireless Mouse,Electronics,198,0,25,173,50,7,In Stock,2025,11,7,4,45,4,0,20.0,48.0,25.0,28.428571428571427,24.53333333333333,23.64,165.48,14.21,179.69,REORDER,7.0
2025-11-08,P001,Wireless Mouse,Electronics,173,0,28,145,50,7,In Stock,2025,11,8,5,45,4,1,25.0,26.0,22.0,25.142857142857142,24.2,25.14,175.98,12.57,188.55,REORDER,44.0
2025-11-09,P001,Wireless Mouse,Electronics,145,0,24,121,50,7,In Stock,2025,11,9,6,45,4,1,28.0,26.0,24.0,25.428571428571427,24.366666666666667,24.74,173.18,12.71,185.89,REORDER,65.0
2025-11-10,P001,Wireless Mouse,Electronics,121,0,19,102,50,7,In Stock,2025,11,10,0,46,4,0,24.0,34.0,24.0,25.142857142857142,24.3,22.76,159.32,12.57,171.89,REORDER,70.0
2025-11-11,P001,Wireless Mouse,Electronics,102,0,26,76,50,7,In Stock,2025,11,11,1,46,4,0,19.0,20.0,24.0,23.0,24.166666666666668,23.2,162.4,11.5,173.9,REORDER,98.0
2025-11-12,P001,Wireless Mouse,Electronics,76,0,25,51,50,7,Reorder Soon,2025,11,12,2,46,4,0,26.0,25.0,23.0,23.857142857142858,24.5,23.55,164.85,11.93,176.78,REORDER,126.0
2025-11-13,P001,Wireless Mouse,Electronics,51,168,22,197,50,7,In Stock,2025,11,13,3,46,4,0,25.0,20.0,16.0,23.857142857142858,24.466666666666665,23.1,161.7,11.93,173.63,NO REORDER,0.0
2025-11-14,P001,Wireless Mouse,Electronics,197,0,23,174,50,7,In Stock,2025,11,14,4,46,4,0,22.0,25.0,48.0,24.142857142857142,24.5,24.75,173.25,12.07,185.32,REORDER,11.0
2025-11-15,P001,Wireless Mouse,Electronics,174,0,28,146,50,7,In Stock,2025,11,15,5,46,4,1,23.0,28.0,26.0,23.857142857142858,24.6,24.39,170.73,11.93,182.66,REORDER,37.0
2025-11-16,P001,Wireless Mouse,Electronics,146,0,28,118,50,7,In Stock,2025,11,16,6,46,4,1,28.0,24.0,26.0,23.857142857142858,25.0,24.48,171.36,11.93,183.29,REORDER,65.0
2025-11-17,P001,Wireless Mouse,Electronics,118,0,25,93,50,7,In Stock,2025,11,17,0,47,4,0,28.0,19.0,34.0,24.428571428571427,25.066666666666663,22.8,159.6,12.21,171.81,REORDER,79.0
2025-11-18,P001,Wireless Mouse,Electronics,93,0,29,64,50,7,Reorder Soon,2025,11,18,1,47,4,0,25.0,26.0,20.0,25.285714285714285,25.4,24.92,174.44,12.64,187.08,REORDER,123.0
2025-11-19,P001,Wireless Mouse,Electronics,64,157,27,194,50,7,In Stock,2025,11,19,2,47,4,0,29.0,25.0,25.0,25.714285714285715,25.4,22.48,157.36,12.86,170.22,NO REORDER,0.0
2025-11-20,P001,Wireless Mouse,Electronics,194,0,27,167,50,7,In Stock,2025,11,20,3,47,4,0,27.0,22.0,20.0,26.0,25.566666666666663,24.44,171.08,13.0,184.08,REORDER,17.0
2025-11-21,P001,Wireless Mouse,Electronics,167,0,18,149,50,7,In Stock,2025,11,21,4,47,4,0,27.0,23.0,25.0,26.714285714285715,25.6,22.98,160.86,13.36,174.22,REORDER,25.0
2025-11-22,P001,Wireless Mouse,Electronics,149,0,26,123,50,7,In Stock,2025,11,22,5,47,4,1,18.0,28.0,28.0,26.0,25.366666666666667,23.52,164.64,13.0,177.64,REORDER,55.0
2025-11-23,P001,Wireless Mouse,Electronics,123,0,25,98,50,7,In Stock,2025,11,23,6,47,4,1,26.0,28.0,24.0,25.714285714285715,25.23333333333333,24.24,169.68,12.86,182.54,REORDER,85.0
2025-11-24,P001,Wireless Mouse,Electronics,98,0,29,69,50,7,Reorder Soon,2025,11,24,0,48,4,0,25.0,25.0,19.0,25.285714285714285,25.23333333333333,25.14,175.98,12.64,188.62,REORDER,120.0
2025-11-25,P001,Wireless Mouse,Electronics,69,0,13,56,50,7,Reorder Soon,2025,11,25,1,48,4,0,29.0,29.0,26.0,25.857142857142858,25.466666666666665,23.31,163.17,12.93,176.1,REORDER,120.0
2025-11-26,P001,Wireless Mouse,Electronics,56,171,23,204,50,7,In Stock,2025,11,26,2,48,4,0,13.0,27.0,25.0,23.571428571428573,25.1,21.92,153.44,11.79,165.23,NO REORDER,0.0
2025-11-27,P001,Wireless Mouse,Electronics,204,0,24,180,50,7,In Stock,2025,11,27,3,48,4,0,23.0,27.0,22.0,23.0,25.066666666666663,23.4,163.8,11.5,175.3,NO REORDER,0.0
2025-11-28,P001,Wireless Mouse,Electronics,180,0,20,160,50,7,In Stock,2025,11,28,4,48,4,0,24.0,18.0,23.0,22.571428571428573,25.066666666666663,22.48,157.36,11.29,168.65,REORDER,9.0
2025-11-29,P001,Wireless Mouse,Electronics,160,0,21,139,50,7,In Stock,2025,11,29,5,48,4,1,20.0,26.0,28.0,22.857142857142858,24.966666666666665,23.72,166.04,11.43,177.47,REORDER,38.0
2025-11-30,P001,Wireless Mouse,Electronics,139,0,31,108,50,7,In Stock,2025,11,30,6,48,4,1,21.0,25.0,28.0,22.142857142857142,25.133333333333333,25.2,176.4,11.07,187.47,REORDER,79.0
2025-12-01,P001,Wireless Mouse,Electronics,108,0,33,75,50,7,Reorder Soon,2025,12,1,0,49,4,0,31.0,29.0,25.0,23.0,24.566666666666663,23.48,164.36,11.5,175.86,REORDER,101.0
2025-12-02,P001,Wireless Mouse,Electronics,75,158,31,202,50,7,In Stock,2025,12,2,1,49,4,0,33.0,13.0,29.0,23.571428571428573,24.8,22.66,158.62,11.79,170.41,NO REORDER,0.0
2025-12-03,P001,Wireless Mouse,Electronics,202,0,23,179,50,7,In Stock,2025,12,3,2,49,4,0,31.0,23.0,27.0,26.142857142857142,24.966666666666665,24.08,168.56,13.07,181.63,REORDER,3.0
2025-12-04,P001,Wireless Mouse,Electronics,179,0,18,161,50,7,In Stock,2025,12,4,3,49,4,0,23.0,24.0,27.0,26.142857142857142,24.6,24.12,168.84,13.07,181.91,REORDER,21.0
2025-12-05,P001,Wireless Mouse,Electronics,161,0,22,139,50,7,In Stock,2025,12,5,4,49,4,0,18.0,20.0,18.0,25.285714285714285,24.53333333333333,23.6,165.2,12.64,177.84,REORDER,39.0
2025-12-06,P001,Wireless Mouse,Electronics,139,0,23,116,50,7,In Stock,2025,12,6,5,49,4,1,22.0,21.0,26.0,25.571428571428573,24.433333333333334,23.45,164.15,12.79,176.94,REORDER,61.0
2025-12-07,P001,Wireless Mouse,Electronics,116,0,28,88,50,7,In Stock,2025,12,7,6,49,4,1,23.0,31.0,25.0,25.857142857142858,24.53333333333333,24.37,170.59,12.93,183.52,REORDER,96.0
2025-12-08,P001,Wireless Mouse,Electronics,88,0,26,62,50,7,Reorder Soon,2025,12,8,0,50,4,0,28.0,33.0,29.0,25.428571428571427,24.633333333333333,23.1,161.7,12.71,174.41,REORDER,112.0
2025-12-09,P001,Wireless Mouse,Electronics,62,154,26,190,50,7,In Stock,2025,12,9,1,50,4,0,26.0,31.0,13.0,24.428571428571427,24.566666666666663,23.06,161.42,12.21,173.63,NO REORDER,0.0
2025-12-10,P001,Wireless Mouse,Electronics,190,0,32,158,50,7,In Stock,2025,12,10,2,50,4,0,26.0,23.0,23.0,23.714285714285715,24.633333333333333,24.8,173.6,11.86,185.46,REORDER,27.0
2025-12-11,P001,Wireless Mouse,Electronics,158,0,29,129,50,7,In Stock,2025,12,11,3,50,4,0,32.0,18.0,24.0,25.0,25.066666666666663,23.5,164.5,12.5,177.0,REORDER,48.0
2025-12-12,P001,Wireless Mouse,Electronics,129,0,21,108,50,7,In Stock,2025,12,12,4,50,4,0,29.0,22.0,20.0,26.571428571428573,25.166666666666668,24.42,170.94,13.29,184.23,REORDER,76.0
2025-12-13,P001,Wireless Mouse,Electronics,108,0,29,79,50,7,In Stock,2025,12,13,5,50,4,1,21.0,23.0,21.0,26.428571428571427,25.03333333333333,25.29,177.03,13.21,190.24,REORDER,111.0
2025-12-14,P001,Wireless Mouse,Electronics,79,0,25,54,50,7,Reorder Soon,2025,12,14,6,50,4,1,29.0,28.0,31.0,27.285714285714285,25.266666666666666,24.42,170.94,13.64,184.58,REORDER,131.0
2025-12-15,P001,Wireless Mouse,Electronics,54,165,23,196,50,7,In Stock,2025,12,15,0,51,4,0,25.0,26.0,33.0,26.857142857142858,25.33333333333333,22.82,159.74,13.43,173.17,NO REORDER,0.0
2025-12-16,P001,Wireless Mouse,Electronics,196,0,29,167,50,7,In Stock,2025,12,16,1,51,4,0,23.0,26.0,31.0,26.428571428571427,25.166666666666668,24.74,173.18,13.21,186.39,REORDER,19.0
